SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQualityRate,LocalAmenities,TransportAccess,Floors,Windows,PreviousSalePrice
952.05,3.0,3.0,986.01,23.79,5.0,57.24,44.39,82.06,2.28,4.0,1.0,4.0,1.0,15.0,337099.9413
550.0,2.0,4.0,747.99,14.98,9.0,81.19,24.77,93.21,2.19,3.0,5.0,7.0,1.0,6.0,305755.0517
821.78,1.0,3.0,782.35,35.37,4.0,16.02,0.76,94.07,2.3,4.0,5.0,7.0,1.0,15.0,155516.4024
1484.71,3.0,3.0,717.94,31.7,7.0,15.61,25.33,92.7,1.24,4.0,7.0,6.0,1.0,14.0,522584.6232
550.0,2.0,3.0,977.74,37.72,6.0,77.72,22.3,95.06,1.87,2.0,4.0,3.0,1.0,12.0,155156.2905
1604.98,4.0,4.0,1003.18,56.09,6.0,4.37,12.33,91.02,1.62,3.0,7.0,8.0,1.0,15.0,487162.7012
960.83,2.0,2.0,448.31,45.95,9.0,26.01,11.82,94.96,1.82,5.0,2.0,5.0,1.0,15.0,160910.6681
1331.5,4.0,2.0,355.76,41.94,6.0,0.47,15.92,91.76,1.82,7.0,3.0,6.0,1.0,33.5,421953.5409
1737.13,1.0,4.0,506.46,18.63,6.0,66.21,10.4,99.0,1.38,4.0,6.0,2.0,1.0,14.0,383700.2319
1489.29,3.0,3.0,489.36,21.6,7.0,40.28,6.9,99.9,0.71,7.0,3.0,5.0,1.0,11.0,574896.4722
2061.42,1.0,2.0,570.44,0.75,9.0,74.53,10.03,96.38,1.38,6.0,10.0,7.0,1.0,18.0,289964.3689
671.5,2.0,3.0,481.64,52.18,10.0,55.23,15.78,99.9,0.51,4.0,8.0,7.0,1.0,24.0,111106.3921
2276.81,2.0,3.0,407.48,44.92,7.0,1.3,13.22,99.9,1.83,6.0,8.0,5.0,1.0,25.0,393743.8482
583.7,3.0,4.0,260.14,8.83,10.0,55.97,23.17,98.66,1.78,5.0,2.0,8.0,1.0,14.0,263632.0554
1923.15,3.0,3.0,379.09,33.33,7.0,74.08,27.51,88.68,2.21,5.0,9.0,7.0,1.0,33.5,332761.3761
550.0,2.0,2.0,492.41,8.63,7.0,96.15,24.97,93.85,2.26,2.0,5.0,5.0,1.0,20.0,44826.26429
1140.39,1.0,3.0,143.04,16.33,6.0,70.95,4.32,91.62,1.42,1.0,9.0,10.0,1.0,15.0,232216.3718
1184.13,3.0,2.0,569.38,20.35,9.0,24.52,5.09,86.31,1.16,5.0,10.0,10.0,1.0,25.0,240933.4309
